Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.464000e-01,0.00134375,0.0211406,0.00264063,-0.633906
-9.462000e-01,0.00432813,0.0360547,0.0033125,-1.50516
-9.460000e-01,0.00404688,0.0283828,0.0034375,-1.25531
-9.458000e-01,-0.001375,-0.00179688,0.0025,-0.0798438
-9.456000e-01,-0.00569531,-0.0311094,0.00171094,1.16953
-9.454000e-01,-0.00628125,-0.0355469,0.00154688,1.59844
-9.452000e-01,-0.00347656,-0.0155,0.00163281,0.872031
-9.450000e-01,0.0005625,0.0175547,0.00239844,-0.452188
-9.448000e-01,0.00442969,0.0355547,0.00296875,-1.44703
-9.446000e-01,0.00432813,0.0304219,0.00311719,-1.36469
-9.444000e-01,-0.000695312,0.00425781,0.0026875,-0.275625
-9.442000e-01,-0.00523438,-0.0280156,0.00159375,1.02219
-9.440000e-01,-0.00630469,-0.0366328,0.00114844,1.61125
-9.438000e-01,-0.0045625,-0.0197891,0.00140625,1.03313
-9.436000e-01,0.000109375,0.0134219,0.00230469,-0.260625
-9.434000e-01,0.00432031,0.0342969,0.00317188,-1.35781
-9.432000e-01,0.00439844,0.0321406,0.00321875,-1.44781
-9.430000e-01,-9.375e-05,0.0093125,0.00328125,-0.463906
-9.428000e-01,-0.00410938,-0.0244141,0.00174219,0.85875
-9.426000e-01,-0.00624219,-0.0372969,0.00145312,1.59547
-9.424000e-01,-0.00519531,-0.0232734,0.00158594,1.17906
-9.422000e-01,-0.00034375,0.00939062,0.00234375,-0.0678125
-9.420000e-01,0.00417188,0.0327031,0.00345313,-1.25063
-9.418000e-01,0.00439844,0.0333906,0.00333594,-1.51109
-9.416000e-01,0.000882813,0.0140703,0.003375,-0.647656
-9.414000e-01,-0.00321875,-0.0205391,0.00180469,0.683281
-9.412000e-01,-0.00609375,-0.0372578,0.00140625,1.55656
-9.410000e-01,-0.00536719,-0.0267891,0.0013125,1.30719
-9.408000e-01,-0.000359375,0.00434375,0.0021875,0.128438
-9.406000e-01,0.00391406,0.0301719,0.00311719,-1.12156
-9.404000e-01,0.00436719,0.0346094,0.00353125,-1.54797
-9.402000e-01,0.00208594,0.0183047,0.00355469,-0.820312
-9.400000e-01,-0.00246094,-0.0164453,0.00227344,0.498281
-9.398000e-01,-0.00633594,-0.0368438,0.00134375,1.49359
-9.396000e-01,-0.00588281,-0.0296484,0.00135938,1.41547
-9.394000e-01,-0.00128125,-0.000953125,0.00225,0.323281
-9.392000e-01,0.00303906,0.0274141,0.00300781,-0.974063
-9.390000e-01,0.00438281,0.0359531,0.00314844,-1.55906
-9.388000e-01,0.00267969,0.0224297,0.00314844,-0.983906
-9.386000e-01,-0.00205469,-0.0121875,0.00232812,0.309063
-9.384000e-01,-0.00626563,-0.0355625,0.00107031,1.40734
-9.382000e-01,-0.00575781,-0.03175,0.00150781,1.49781
-9.380000e-01,-0.00134375,-0.00603906,0.00174219,0.510313
-9.378000e-01,0.00269531,0.0248672,0.00284375,-0.81
-9.376000e-01,0.00467187,0.0367188,0.00333594,-1.54438
-9.374000e-01,0.00389844,0.0262812,0.00353125,-1.12766
-9.372000e-01,-0.00133594,-0.00697656,0.00282031,0.115469
-9.370000e-01,-0.005875,-0.0331562,0.00178125,1.29906
-9.368000e-01,-0.00586719,-0.0335234,0.001375,1.56141
-9.366000e-01,-0.00225,-0.0108906,0.00158594,0.695
-9.364000e-01,0.00124219,0.0211094,0.00271094,-0.634531
-9.362000e-01,0.00439844,0.0363438,0.00353125,-1.50562
-9.360000e-01,0.00438281,0.0284453,0.00336719,-1.25609
-9.358000e-01,-0.00102344,-0.00178125,0.00283594,-0.0790625
-9.356000e-01,-0.0054375,-0.031,0.00175781,1.17188
-9.354000e-01,-0.00605469,-0.0351953,0.00151563,1.60078
-9.352000e-01,-0.00332812,-0.0155781,0.00155469,0.870156
-9.350000e-01,0.000515625,0.0176172,0.00267188,-0.4525
-9.348000e-01,0.00450781,0.0359141,0.00369531,-1.44547
-9.346000e-01,0.00426563,0.0305859,0.00332812,-1.36344
-9.344000e-01,-0.000460938,0.0044375,0.00271094,-0.273438
-9.342000e-01,-0.00491406,-0.0279219,0.00182031,1.02516
-9.340000e-01,-0.00625,-0.0366406,0.00128906,1.61078
-9.338000e-01,-0.00428125,-0.0197422,0.00132813,1.03359
-9.336000e-01,-0.000109375,0.0135156,0.00222656,-0.261875
-9.334000e-01,0.00451562,0.0342969,0.00357031,-1.3575
-9.332000e-01,0.00424219,0.0321797,0.00328906,-1.44656
-9.330000e-01,-3.90625e-05,0.00917969,0.00315625,-0.462656
-9.328000e-01,-0.00383594,-0.0243516,0.00166406,0.861719
-9.326000e-01,-0.00639844,-0.0373125,0.00129688,1.5975
-9.324000e-01,-0.00507813,-0.0236953,0.00139844,1.17844
-9.322000e-01,-9.375e-05,0.00909375,0.00214844,-0.066875
-9.320000e-01,0.00414063,0.0326719,0.0031875,-1.25016
-9.318000e-01,0.00425781,0.0335781,0.00332031,-1.50859
-9.316000e-01,0.000578125,0.0141719,0.00315625,-0.645469
-9.314000e-01,-0.00325,-0.0203125,0.00191406,0.684375
-9.312000e-01,-0.00659375,-0.0372969,0.00124219,1.55859
-9.310000e-01,-0.00573437,-0.026625,0.0011875,1.30656
-9.308000e-01,-0.000789063,0.00448438,0.0016875,0.127188
-9.306000e-01,0.00358594,0.030375,0.00275781,-1.12172
-9.304000e-01,0.00402344,0.0350078,0.00289062,-1.54703
-9.302000e-01,0.00161719,0.018875,0.00319531,-0.822344
-9.300000e-01,-0.00279687,-0.0161172,0.00214844,0.500156
-9.298000e-01,-0.00663281,-0.0369531,0.00109375,1.49422
-9.296000e-01,-0.0061875,-0.0295781,0.00107031,1.41375
-9.294000e-01,-0.00136719,-0.000570312,0.00163281,0.320781
-9.292000e-01,0.00290625,0.0279688,0.00261719,-0.974531
-9.290000e-01,0.00417969,0.0360938,0.00314063,-1.56
-9.288000e-01,0.00246094,0.0228828,0.00323438,-0.982812
-9.286000e-01,-0.00230469,-0.0118594,0.00207031,0.310781
-9.284000e-01,-0.00674219,-0.0352422,0.00103906,1.40984
-9.282000e-01,-0.00663281,-0.0315938,0.00117969,1.49891
-9.280000e-01,-0.0021875,-0.0059375,0.00155469,0.511406
-9.278000e-01,0.00199219,0.0245391,0.00240625,-0.812344
-9.276000e-01,0.00398438,0.0362344,0.00308594,-1.54719
-9.274000e-01,0.00355469,0.0259531,0.00332812,-1.12828
-9.272000e-01,-0.001875,-0.00700781,0.00238281,0.116719
-9.270000e-01,-0.00663281,-0.0333516,0.00139844,1.30078
-9.268000e-01,-0.00642188,-0.033625,0.00107813,1.56094
-9.266000e-01,-0.00261719,-0.0111484,0.001625,0.692969
-9.264000e-01,0.00142969,0.0213203,0.0024375,-0.636094
-9.262000e-01,0.00435156,0.0361484,0.00317188,-1.50875
-9.260000e-01,0.00367188,0.0284609,0.00328125,-1.25734
-9.258000e-01,-0.0015625,-0.00153906,0.00238281,-0.0809375
-9.256000e-01,-0.00598438,-0.03075,0.00166406,1.16922
-9.254000e-01,-0.006375,-0.0355234,0.00133594,1.59875
-9.252000e-01,-0.00347656,-0.0152578,0.00144531,0.869688
-9.250000e-01,0.00034375,0.0178203,0.00244531,-0.452969
-9.248000e-01,0.00446875,0.0354531,0.00298438,-1.44703
-9.246000e-01,0.00435156,0.0308047,0.00299219,-1.36391
-9.244000e-01,-0.000484375,0.00433594,0.00251563,-0.274844
-9.242000e-01,-0.00490625,-0.0275156,0.00142969,1.02344
-9.240000e-01,-0.00639844,-0.0363203,0.00115625,1.60906
-9.238000e-01,-0.00422656,-0.019375,0.00109375,1.03203
-9.236000e-01,0.000179687,0.0139063,0.00182031,-0.262813
-9.234000e-01,0.00435156,0.0350156,0.00296875,-1.36141
-9.232000e-01,0.0045625,0.0325781,0.00316406,-1.44906
-9.230000e-01,-0.000132813,0.00936719,0.00248438,-0.464688
-9.228000e-01,-0.0044375,-0.0242656,0.0011875,0.859219
