Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.552000e-01,0.00421875,0.0273516,0.00365625,-0.102031
-9.550000e-01,0.00880469,0.0560391,0.00464062,-0.974219
-9.548000e-01,0.0107344,0.0629609,0.00402344,-1.46938
-9.546000e-01,0.00925,0.0495781,0.00340625,-1.39234
-9.544000e-01,0.00257031,0.0150625,0.00224219,-0.770469
-9.542000e-01,-0.00435156,-0.0255781,0.00104688,0.140313
-9.540000e-01,-0.00928906,-0.0576094,0.000273438,1.01359
-9.538000e-01,-0.0109219,-0.0655859,0.00021875,1.51531
-9.536000e-01,-0.00752344,-0.0481328,0.00025,1.43734
-9.534000e-01,-0.000890625,-0.0110469,0.000921875,0.813906
-9.532000e-01,0.00567969,0.0267422,0.00189062,-0.101094
-9.530000e-01,0.0101172,0.0558828,0.00294531,-0.973125
-9.528000e-01,0.0110156,0.0630938,0.00333594,-1.46797
-9.526000e-01,0.00796875,0.0507266,0.00363281,-1.39234
-9.524000e-01,0.000578125,0.015125,0.00335156,-0.767188
-9.522000e-01,-0.00598438,-0.0265625,0.002625,0.142813
-9.520000e-01,-0.0109453,-0.0594922,0.00139844,1.01609
-9.518000e-01,-0.0129297,-0.0685469,0.000859375,1.51531
-9.516000e-01,-0.0091875,-0.0503672,0.000992188,1.43969
-9.514000e-01,-0.00267188,-0.0115391,0.00239844,0.813594
-9.512000e-01,0.00394531,0.0273203,0.00365625,-0.101406
-9.510000e-01,0.0083125,0.0561719,0.00464844,-0.975
-9.508000e-01,0.0103906,0.0627188,0.00420313,-1.46969
-9.506000e-01,0.00902344,0.0495469,0.00321094,-1.39094
-9.504000e-01,0.00264063,0.0152422,0.00191406,-0.764531
-9.502000e-01,-0.00436719,-0.0252578,0.00090625,0.144687
